model,estimate,conf.low,conf.high,p.value
A,0.5042475914142455,0.40870319288824464,0.6221278371969899,1.6815274224101432e-10
B,0.9487994420500062,0.6569712151326937,1.3702584839315652,0.7792782865079064
C,0.9172184318101779,0.6333208488542907,1.3283782669941426,0.6474743285995509
D,0.8856174056944884,0.5560417604003806,1.4105382817007917,0.6089951131275694
E,0.6559699194149285,0.4139865472062809,1.0393973864151194,0.07258633704655625
F,0.772977592408339,0.6008682179251319,0.9943850257692278,0.045093620808796635
G,1.0540162524830843,0.7655325759166953,1.4512122611740794,0.7471288652654342
H,1.0436546441910652,0.7503689801585715,1.4515725531609809,0.7996192115826485
I,0.62970923402255,0.47998145126863195,0.826143840277982,8.418835654963293e-4
J,1.0831619451605736,0.8005349855827122,1.4655696759961494,0.6045771448437263
